Port,Name,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,,
,AD_B0_00,FLEXPWM2_PWMA3,XBAR1_XBAR_INOUT14,ANATOP_32K_OUT,ANATOP_OTG2_ID,LPI2C1_SCLS,GPIO1_PIN0,USDHC1_RESET_B,LPSPI3_SCK,,,,,,,,AD_B0_00,,
,AD_B0_01,FLEXPWM2_PWMB3,XBAR1_XBAR_INOUT15,ANATOP_24M_OUT,ANATOP_OTG1_ID,LPI2C1_SDAS,GPIO1_PIN1,EWM_EWM_OUT_B,LPSPI3_SDO,,,,,,,,AD_B0_01,,
,AD_B0_02,FLEXCAN2_TX,XBAR1_XBAR_INOUT16,LPUART6_TX,USB_OTG1_PWR,FLEXPWM1_PWMX0,GPIO1_PIN2,LPI2C1_HREQ,LPSPI3_SDI,,,,,,,,AD_B0_02,,
,AD_B0_03,FLEXCAN2_RX,XBAR1_XBAR_INOUT17,LPUART6_RX,USB_OTG1_OC,FLEXPWM1_PWMX1,GPIO1_PIN3,ANATOP_24M_OUT,LPSPI3_PCS0,,,,,,,,AD_B0_03,,
,AD_B0_04,SRC_BOOT_MODE0,MQS_RIGHT,ENET_TDATA3,SAI2_TX_SYNC,CSI_DATA9,GPIO1_PIN4,PIT_TRIGGER0,LPSPI3_PCS1,,,,,,,,AD_B0_04,,
,AD_B0_05,SRC_BOOT_MODE1,MQS_LEFT,ENET_TDATA2,SAI2_TX_BCLK,CSI_DATA8,GPIO1_PIN5,XBAR1_XBAR_INOUT17,LPSPI3_PCS2,,,,,,,,AD_B0_05,,
,AD_B0_06,JTAG_TMS,GPT2_COMPARE1,ENET_RX_CLK,SAI2_RX_BCLK,CSI_DATA7,GPIO1_PIN6,XBAR1_XBAR_INOUT18,LPSPI3_PCS3,,,,,,,,AD_B0_06,,
,AD_B0_07,JTAG_TCK,GPT2_COMPARE2,ENET_TX_ER,SAI2_RX_SYNC,CSI_DATA6,GPIO1_PIN7,XBAR1_XBAR_INOUT19,ENET_1588_EVENT3_OUT,,,,,,,,AD_B0_07,,
,AD_B0_08,JTAG_MOD,GPT2_COMPARE3,ENET_RDATA3,SAI2_RX_DATA,CSI_DATA5,GPIO1_PIN8,XBAR1_XBAR_IN20,ENET_1588_EVENT3_IN,,,,,,,,AD_B0_08,,
,AD_B0_09,JTAG_TDI,FLEXPWM2_PWMA3,ENET_RDATA2,SAI2_TX_DATA,CSI_DATA4,GPIO1_PIN9,XBAR1_XBAR_IN21,GPT2_CLK,,,,,,,,AD_B0_09,,
,AD_B0_10,JTAG_TDO,FLEXPWM1_PWMA3,ENET_CRS,SAI2_MCLK,CSI_DATA3,GPIO1_PIN10,XBAR1_XBAR_IN22,ENET_1588_EVENT0_OUT,,,,,,,,AD_B0_10,,
,AD_B0_11,JTAG_TRSTB,FLEXPWM1_PWMB3,ENET_COL,WDOG1_WDOG_B,CSI_DATA2,GPIO1_PIN11,XBAR1_XBAR_IN23,ENET_1588_EVENT0_IN,,,,,,,,AD_B0_11,,
,AD_B0_12,LPI2C4_SCL,CCM_PMIC_RDY,LPUART1_TX,WDOG2_WDOG_B,FLEXPWM1_PWMX2,GPIO1_PIN12,ENET_1588_EVENT1_OUT,CM7_NMI,,,,,,,,AD_B0_12,ADC1_IN1,
,AD_B0_13,LPI2C4_SDA,GPT1_CLK,LPUART1_RX,EWM_EWM_OUT_B,FLEXPWM1_PWMX3,GPIO1_PIN13,ENET_1588_EVENT1_IN,ANATOP_24M_OUT,,,,,,,,AD_B0_13,ADC1_IN2,
,AD_B0_14,USB_OTG2_OC,XBAR1_XBAR_IN24,LPUART1_CTS_B,ENET_1588_EVENT0_OUT,CSI_VSYNC,GPIO1_PIN14,FLEXCAN2_TX,WDOG1_WDOG_ANY,,,,,,,,AD_B0_14,ADC1_IN3,
,AD_B0_15,USB_OTG2_PWR,XBAR1_XBAR_IN25,LPUART1_RTS_B,ENET_1588_EVENT0_IN,CSI_HSYNC,GPIO1_PIN15,FLEXCAN2_RX,WDOG1_WDOG_RST_B_DEB,,,,,,,,AD_B0_15,ADC1_IN4,
,AD_B1_00,ANATOP_OTG2_ID,TMR3_TIMER0,LPUART2_CTS_B,LPI2C1_SCL,WDOG1_WDOG_B,GPIO1_PIN16,USDHC1_WP,KPP_ROW7,,,,,,,,AD_B1_00,ADC1_IN5,ADC2_IN5
,AD_B1_01,USB_OTG1_PWR,TMR3_TIMER1,LPUART2_RTS_B,LPI2C1_SDA,CCM_PMIC_RDY,GPIO1_PIN17,USDHC1_VSELECT,KPP_COL7,,,,,,,,AD_B1_01,ADC1_IN6,ADC2_IN6
,AD_B1_02,ANATOP_OTG1_ID,TMR3_TIMER2,LPUART2_TX,SPDIF_OUT,ENET_1588_EVENT2_OUT,GPIO1_PIN18,USDHC1_CD_B,KPP_ROW6,,,,,,,,AD_B1_02,ADC1_IN7,ADC2_IN7
,AD_B1_03,USB_OTG1_OC,TMR3_TIMER3,LPUART2_RX,SPDIF_IN,ENET_1588_EVENT2_IN,GPIO1_PIN19,USDHC2_CD_B,KPP_COL6,,,,,,,,AD_B1_03,ADC1_IN8,ADC2_IN8
,AD_B1_04,FLEXSPI_B_DATA3,ENET_MDC,LPUART3_CTS_B,SPDIF_SR_CLK,CSI_PIXCLK,GPIO1_PIN20,USDHC2_DATA0,KPP_ROW5,,,,,,,,AD_B1_04,ADC1_IN9,ADC2_IN9
,AD_B1_05,FLEXSPI_B_DATA2,ENET_MDIO,LPUART3_RTS_B,SPDIF_OUT,CSI_MCLK,GPIO1_PIN21,USDHC2_DATA1,KPP_COL5,,,,,,,,AD_B1_05,ADC1_IN10,ADC2_IN10
,AD_B1_06,FLEXSPI_B_DATA1,LPI2C3_SDA,LPUART3_TX,SPDIF_LOCK,CSI_VSYNC,GPIO1_PIN22,USDHC2_DATA2,KPP_ROW4,,,,,,,,AD_B1_06,ADC1_IN11,ADC2_IN11
,AD_B1_07,FLEXSPI_B_DATA0,LPI2C3_SCL,LPUART3_RX,SPDIF_EXT_CLK,CSI_HSYNC,GPIO1_PIN23,USDHC2_DATA3,KPP_COL4,,,,,,,,AD_B1_07,ADC1_IN12,ADC2_IN12
,AD_B1_08,FLEXSPI_A_SS1_B,FLEXPWM4_PWMA0,FLEXCAN1_TX,CCM_PMIC_RDY,CSI_DATA9,GPIO1_PIN24,USDHC2_CMD,KPP_ROW3,,,,,,,,AD_B1_08,ADC1_IN13,ADC2_IN13
,AD_B1_09,FLEXSPI_A_DQS,FLEXPWM4_PWMA1,FLEXCAN1_RX,SAI1_MCLK,CSI_DATA8,GPIO1_PIN25,USDHC2_CLK,KPP_COL3,,,,,,,,AD_B1_09,ADC1_IN14,ADC2_IN14
,AD_B1_10,FLEXSPI_A_DATA3,WDOG1_WDOG_B,LPUART8_TX,SAI1_RX_SYNC,CSI_DATA7,GPIO1_PIN26,USDHC2_WP,KPP_ROW2,,,,,,,,AD_B1_10,ADC1_IN15,ADC2_IN15
,AD_B1_11,FLEXSPI_A_DATA2,EWM_EWM_OUT_B,LPUART8_RX,SAI1_RX_BCLK,CSI_DATA6,GPIO1_PIN27,USDHC2_RESET_B,KPP_COL2,,,,,,,,AD_B1_11,ADC1_IN0,ADC2_IN0
,AD_B1_12,FLEXSPI_A_DATA1,ACMP_OUT0,LPSPI3_PCS0,SAI1_RX_DATA0,CSI_DATA5,GPIO1_PIN28,USDHC2_DATA4,KPP_ROW1,,,,,,,,AD_B1_12,ADC2_IN1,
,AD_B1_13,FLEXSPI_A_DATA0,ACMP_OUT1,LPSPI3_SDI,SAI1_TX_DATA0,CSI_DATA4,GPIO1_PIN29,USDHC2_DATA5,KPP_COL1,,,,,,,,AD_B1_13,ADC2_IN2,
,AD_B1_14,FLEXSPI_A_SCLK,ACMP_OUT2,LPSPI3_SDO,SAI1_TX_BCLK,CSI_DATA3,GPIO1_PIN30,USDHC2_DATA6,KPP_ROW0,,,,,,,,AD_B1_14,ADC2_IN3,
,AD_B1_15,FLEXSPI_A_SS0_B,ACMP_OUT3,LPSPI3_SCK,SAI1_TX_SYNC,CSI_DATA2,GPIO1_PIN31,USDHC2_DATA7,KPP_COL0,,,,,,,,AD_B1_15,ADC2_IN4,
,B0_00,LCDIF_CLK,TMR1_TIMER0,MQS_RIGHT,LPSPI4_PCS0,FLEXIO2_FLEXIO0,GPIO2_PIN0,SEMC_CSX1,SRC_TESTER_ACK,,,,,,,,B0_00,,
,B0_01,LCDIF_ENABLE,TMR1_TIMER1,MQS_LEFT,LPSPI4_SDI,FLEXIO2_FLEXIO1,GPIO2_PIN1,SEMC_CSX2,SIM_M_HPROT0,,,,,,,,B0_01,,
,B0_02,LCDIF_HSYNC,TMR1_TIMER2,FLEXCAN1_TX,LPSPI4_SDO,FLEXIO2_FLEXIO2,GPIO2_PIN2,SEMC_CSX3,TPSMP_HDATA0,,,,,,,,B0_02,,
